county_id,year,first_treat_year,treated,post,did,region,size_group,ln_tfp,ln_patent,ln_export,ln_gdp,ln_population,ln_fiscal,gov_ratio,urban_ratio
1,2010,2014,1,0,0,East,Large,2.9108,1.4285,3.1996,8.9447,5.3439,7.3743,0.1763,0.4873
1,2011,2014,1,0,0,East,Large,2.9887,1.6143,3.1379,8.9711,5.3519,7.3881,0.1696,0.455
1,2012,2014,1,0,0,East,Large,2.9069,1.593,3.4663,9.0107,5.359,7.3852,0.1719,0.4762
1,2013,2014,1,0,0,East,Large,2.965,1.652,3.2494,9.0621,5.3421,7.4839,0.1658,0.5023
1,2014,2014,1,1,1,East,Large,3.2205,1.7971,3.2012,9.038,5.3622,7.5014,0.1699,0.4736
1,2015,2014,1,1,1,East,Large,3.334,1.7989,3.4805,9.1668,5.375,7.4744,0.1869,0.5082
1,2016,2014,1,1,1,East,Large,3.3396,1.7822,3.5271,9.2581,5.3436,7.492,0.2034,0.5677
1,2017,2014,1,1,1,East,Large,3.3617,1.963,3.6659,9.2738,5.3226,7.5678,0.1279,0.5401
1,2018,2014,1,1,1,East,Large,3.3141,2.0696,3.6642,9.3427,5.3687,7.6354,0.1736,0.5727
2,2010,2014,1,0,0,Central,Large,2.634,1.251,2.7505,8.6952,5.2691,7.073,0.1755,0.4274
2,2011,2014,1,0,0,Central,Large,2.6818,1.2433,3.1105,8.7622,5.2863,7.1768,0.1918,0.4798
2,2012,2014,1,0,0,Central,Large,2.7028,1.3089,2.9972,8.8002,5.2742,7.3115,0.1864,0.4915
2,2013,2014,1,0,0,Central,Large,2.723,1.4674,3.2865,8.7711,5.2788,7.2552,0.1489,0.4749
2,2014,2014,1,1,1,Central,Large,2.9592,1.5782,3.3062,8.855,5.237,7.3128,0.1801,0.4943
2,2015,2014,1,1,1,Central,Large,2.8796,1.5152,3.1521,8.8807,5.2515,7.3705,0.1669,0.5025
2,2016,2014,1,1,1,Central,Large,2.9014,1.5496,3.4671,8.9504,5.2653,7.3833,0.1543,0.5226
2,2017,2014,1,1,1,Central,Large,2.9833,1.5861,3.0383,9.0954,5.2426,7.3849,0.1582,0.5388
2,2018,2014,1,1,1,Central,Large,2.9943,1.6862,3.3185,9.0733,5.2931,7.389,0.1938,0.5378
3,2010,2014,1,0,0,West,Large,2.3111,1.138,3.015,8.4432,5.1574,6.9375,0.1995,0.4123
3,2011,2014,1,0,0,West,Large,2.4342,1.0891,2.8481,8.5035,5.1864,7.0031,0.1896,0.4674
3,2012,2014,1,0,0,West,Large,2.4497,1.2039,2.9926,8.5776,5.1882,7.0702,0.1563,0.4597
3,2013,2014,1,0,0,West,Large,2.4805,1.1565,3.0509,8.613,5.1753,7.047,0.2052,0.4505
3,2014,2014,1,1,1,West,Large,2.6565,1.25,3.0879,8.6764,5.1612,7.2118,0.1843,0.5207
3,2015,2014,1,1,1,West,Large,2.5889,1.3639,3.1068,8.7694,5.1558,7.171,0.1847,0.4797
3,2016,2014,1,1,1,West,Large,2.6492,1.338,3.0801,8.8327,5.1937,7.2509,0.1514,0.5148
3,2017,2014,1,1,1,West,Large,2.69,1.5244,3.2987,8.8372,5.1815,7.2779,0.1658,0.5282
3,2018,2014,1,1,1,West,Large,2.7665,1.4677,3.3212,8.8386,5.152,7.2298,0.1611,0.5098
4,2010,2014,1,0,0,East,Large,2.3581,1.0847,2.6277,8.4381,5.1844,7.033,0.1965,0.4135
4,2011,2014,1,0,0,East,Large,2.3727,1.0173,3.0239,8.4997,5.1816,7.0255,0.2005,0.4241
4,2012,2014,1,0,0,East,Large,2.4529,1.1883,2.9311,8.5229,5.1695,7.013,0.1827,0.4901
4,2013,2014,1,0,0,East,Large,2.5027,1.1991,3.1339,8.5732,5.2058,7.0226,0.1237,0.4713
4,2014,2014,1,1,1,East,Large,2.5983,1.4803,3.1325,8.6528,5.2081,7.1836,0.1559,0.4682
4,2015,2014,1,1,1,East,Large,2.7754,1.365,3.3577,8.6695,5.1904,7.1327,0.2343,0.4828
4,2016,2014,1,1,1,East,Large,2.6786,1.5082,3.0691,8.8244,5.1756,7.1684,0.1754,0.4696
4,2017,2014,1,1,1,East,Large,2.7727,1.5273,3.2082,8.8576,5.1506,7.2277,0.1844,0.514
4,2018,2014,1,1,1,East,Large,2.8686,1.3828,3.2861,8.8716,5.1467,7.2372,0.2067,0.5577
5,2010,2014,1,0,0,West,Large,2.6458,1.4215,3.0386,8.7041,5.2775,7.08,0.133,0.4831
5,2011,2014,1,0,0,West,Large,2.7511,1.2381,2.9984,8.776,5.2646,7.2243,0.2075,0.4731
5,2012,2014,1,0,0,West,Large,2.7944,1.4494,3.1249,8.8403,5.2731,7.3094,0.1703,0.49
5,2013,2014,1,0,0,West,Large,2.8204,1.4329,2.9716,8.9078,5.2802,7.3309,0.1723,0.5416
5,2014,2014,1,1,1,West,Large,2.9307,1.706,3.267,8.9133,5.2965,7.3261,0.1758,0.5002
5,2015,2014,1,1,1,West,Large,2.9666,1.6155,3.2846,8.9919,5.2991,7.4083,0.2064,0.5061
5,2016,2014,1,1,1,West,Large,3.0135,1.7166,3.3515,8.9955,5.2759,7.4446,0.155,0.5297
5,2017,2014,1,1,1,West,Large,3.1434,1.8084,3.4392,9.0554,5.3192,7.5009,0.1741,0.5065
5,2018,2014,1,1,1,West,Large,3.1809,1.6769,3.4021,9.0417,5.274,7.4261,0.2028,0.5681
6,2010,2014,1,0,0,East,Small,2.779,1.3575,3.0241,8.7272,5.2844,7.2218,0.1679,0.4804
6,2011,2014,1,0,0,East,Small,2.8591,1.4481,2.9625,8.7826,5.3132,7.3394,0.205,0.475
6,2012,2014,1,0,0,East,Small,2.8327,1.4175,3.2763,8.839,5.283,7.3073,0.1886,0.4743
6,2013,2014,1,0,0,East,Small,2.7842,1.4428,3.0939,8.874,5.3192,7.2496,0.153,0.4983
6,2014,2014,1,1,1,East,Small,3.0228,1.6001,3.3216,8.9728,5.2914,7.3409,0.1734,0.5083
6,2015,2014,1,1,1,East,Small,2.9634,1.677,3.4717,9.009,5.271,7.3635,0.2031,0.4936
6,2016,2014,1,1,1,East,Small,3.1925,1.5525,3.362,9.0992,5.3027,7.4064,0.1521,0.523
6,2017,2014,1,1,1,East,Small,3.1011,1.7136,3.4744,9.1894,5.2779,7.4836,0.1762,0.5307
6,2018,2014,1,1,1,East,Small,3.204,1.677,3.4824,9.164,5.3026,7.5864,0.1668,0.5216
7,2010,2014,1,0,0,East,Small,1.5435,0.5535,2.6083,7.9279,4.9576,6.5635,0.1807,0.3998
7,2011,2014,1,0,0,East,Small,1.7582,0.5643,2.5336,7.8372,4.9644,6.5188,0.1663,0.4105
7,2012,2014,1,0,0,East,Small,1.6677,0.686,2.614,7.9802,4.9688,6.5798,0.2002,0.4721
7,2013,2014,1,0,0,East,Small,1.7856,0.5259,2.7936,8.0052,4.9519,6.7107,0.2085,0.4221
7,2014,2014,1,1,1,East,Small,1.9354,0.8587,2.577,8.0705,4.9342,6.6973,0.168,0.4126
7,2015,2014,1,1,1,East,Small,1.8769,0.8854,2.7148,8.1742,4.9661,6.7524,0.1811,0.4957
7,2016,2014,1,1,1,East,Small,1.9357,0.9511,2.6899,8.1491,4.9774,6.7476,0.1966,0.4519
7,2017,2014,1,1,1,East,Small,2.0272,0.996,2.678,8.2715,4.9499,6.8143,0.202,0.4658
7,2018,2014,1,1,1,East,Small,2.1147,1.1177,2.7871,8.3527,4.9771,6.8758,0.1862,0.49
8,2010,2014,1,0,0,West,Small,1.9188,0.8533,2.7315,8.2,5.0986,6.7143,0.2147,0.4473
8,2011,2014,1,0,0,West,Small,2.0097,0.7853,2.7736,8.2251,5.0978,6.8136,0.1869,0.4156
8,2012,2014,1,0,0,West,Small,2.1082,0.9259,2.8854,8.2802,5.1071,6.7836,0.1561,0.4587
8,2013,2014,1,0,0,West,Small,2.1413,0.9215,2.9727,8.3682,5.0793,6.8471,0.1755,0.4351
8,2014,2014,1,1,1,West,Small,2.2926,1.1932,2.8916,8.4057,5.0946,6.9346,0.2068,0.5256
8,2015,2014,1,1,1,West,Small,2.3144,1.1284,2.9732,8.47,5.0692,6.9827,0.1542,0.4779
8,2016,2014,1,1,1,West,Small,2.3969,1.2272,2.9769,8.4467,5.0751,7.0613,0.1749,0.5099
8,2017,2014,1,1,1,West,Small,2.3128,1.229,3.1399,8.494,5.0649,7.0304,0.1696,0.4849
8,2018,2014,1,1,1,West,Small,2.4349,1.0573,3.0134,8.6755,5.0968,7.1129,0.2087,0.5162
9,2010,2014,1,0,0,Central,Large,2.502,1.1298,3.0612,8.6237,5.2407,7.073,0.1914,0.467
9,2011,2014,1,0,0,Central,Large,2.5517,1.2198,3.2093,8.6339,5.2045,7.1212,0.197,0.4656
9,2012,2014,1,0,0,Central,Large,2.643,1.242,2.9394,8.7395,5.2375,7.2155,0.1659,0.5009
9,2013,2014,1,0,0,Central,Large,2.5329,1.4805,3.0751,8.6687,5.2542,7.1835,0.1742,0.5089
9,2014,2014,1,1,1,Central,Large,2.7654,1.4633,3.2561,8.8176,5.2173,7.1926,0.1378,0.4405
9,2015,2014,1,1,1,Central,Large,2.8467,1.5019,3.1749,8.954,5.2564,7.2852,0.2123,0.5033
9,2016,2014,1,1,1,Central,Large,2.9041,1.6475,3.2316,8.9138,5.2444,7.371,0.1389,0.5101
9,2017,2014,1,1,1,Central,Large,2.9389,1.5539,3.3558,8.9933,5.2583,7.4752,0.1808,0.5346
9,2018,2014,1,1,1,Central,Large,2.9321,1.7102,3.5265,9.0803,5.2497,7.3946,0.1482,0.5266
10,2010,2014,1,0,0,Central,Small,2.4119,1.2987,2.8126,8.475,5.1938,6.9573,0.1995,0.4519
10,2011,2014,1,0,0,Central,Small,2.4618,1.1575,3.0917,8.5792,5.2223,7.0842,0.1643,0.4308
10,2012,2014,1,0,0,Central,Small,2.3961,1.22,2.8575,8.6485,5.1949,7.1207,0.1668,0.4612
10,2013,2014,1,0,0,Central,Small,2.5668,1.2705,2.9088,8.6801,5.2254,7.1401,0.1617,0.4489
10,2014,2014,1,1,1,Central,Small,2.6853,1.2482,3.0837,8.7382,5.1662,7.1696,0.1681,0.485
10,2015,2014,1,1,1,Central,Small,2.6289,1.2834,3.0952,8.7267,5.2107,7.3099,0.1937,0.5202
10,2016,2014,1,1,1,Central,Small,2.7442,1.6287,3.1458,8.8687,5.2137,7.3263,0.1865,0.481
10,2017,2014,1,1,1,Central,Small,2.8376,1.4757,3.1155,8.9071,5.2376,7.3024,0.2009,0.5319
10,2018,2014,1,1,1,Central,Small,2.8832,1.5263,3.396,8.9572,5.1938,7.2968,0.1619,0.53
11,2010,2014,1,0,0,Central,Small,2.7461,1.141,2.9837,8.7304,5.3198,7.1163,0.1278,0.4856
11,2011,2014,1,0,0,Central,Small,2.7429,1.4372,3.1255,8.7782,5.2801,7.1969,0.1765,0.4619
11,2012,2014,1,0,0,Central,Small,2.7895,1.3629,3.3809,8.8642,5.2901,7.3044,0.189,0.5257
11,2013,2014,1,0,0,Central,Small,2.7464,1.3689,3.1931,8.935,5.3355,7.3029,0.1564,0.4937
11,2014,2014,1,1,1,Central,Small,2.9431,1.4812,3.3691,8.9386,5.2943,7.3172,0.1811,0.5085
11,2015,2014,1,1,1,Central,Small,2.9111,1.6287,3.3029,9.0118,5.3077,7.3233,0.1842,0.5411
11,2016,2014,1,1,1,Central,Small,3.0397,1.5584,3.064,9.035,5.276,7.43,0.1526,0.5338
11,2017,2014,1,1,1,Central,Small,3.0714,1.7031,3.3765,9.0963,5.2431,7.4898,0.1398,0.525
11,2018,2014,1,1,1,Central,Small,3.1643,1.7984,3.4689,9.149,5.3025,7.4246,0.1891,0.5175
12,2010,2014,1,0,0,West,Large,2.8958,1.4053,3.0288,8.9466,5.3704,7.3536,0.1972,0.4878
12,2011,2014,1,0,0,West,Large,2.9983,1.2933,3.1553,8.937,5.3911,7.2812,0.2139,0.4938
12,2012,2014,1,0,0,West,Large,2.9169,1.4608,3.0985,9.014,5.3628,7.3284,0.1872,0.5431
12,2013,2014,1,0,0,West,Large,2.9424,1.576,3.4077,9.0557,5.3519,7.3741,0.162,0.5093
12,2014,2014,1,1,1,West,Large,3.1498,1.7305,3.3633,9.1531,5.3623,7.4491,0.1595,0.4688
12,2015,2014,1,1,1,West,Large,3.2232,1.8939,3.389,9.1163,5.3543,7.5633,0.1428,0.5152
12,2016,2014,1,1,1,West,Large,3.2309,1.6839,3.6216,9.2106,5.353,7.5455,0.1843,0.5325
12,2017,2014,1,1,1,West,Large,3.2641,1.9062,3.5091,9.3068,5.331,7.589,0.1751,0.5099
12,2018,2014,1,1,1,West,Large,3.2431,1.8573,3.4804,9.2641,5.362,7.6032,0.1867,0.5208
13,2010,2014,1,0,0,West,Small,1.993,0.8934,2.7171,8.1915,5.0181,6.7217,0.1834,0.4405
13,2011,2014,1,0,0,West,Small,1.9316,0.9475,2.5871,8.1469,5.0814,6.8766,0.1773,0.4358
13,2012,2014,1,0,0,West,Small,2.0614,0.9803,2.6348,8.2847,5.0873,6.7411,0.17,0.4118
13,2013,2014,1,0,0,West,Small,2.1382,0.8262,2.5843,8.2035,5.0671,6.8798,0.1526,0.4636
13,2014,2014,1,1,1,West,Small,2.1351,1.033,2.9488,8.3588,5.0605,6.9048,0.1839,0.4535
13,2015,2014,1,1,1,West,Small,2.2688,1.1293,2.868,8.342,5.0698,6.8804,0.1697,0.4721
13,2016,2014,1,1,1,West,Small,2.2246,1.2083,3.0567,8.382,5.056,6.9306,0.1843,0.5031
13,2017,2014,1,1,1,West,Small,2.315,1.1873,3.0524,8.5193,5.0553,6.991,0.1868,0.481
13,2018,2014,1,1,1,West,Small,2.3013,1.2639,3.0186,8.4457,5.0579,7.0386,0.1614,0.5139
14,2010,2014,1,0,0,East,Small,2.2238,1.1667,2.8529,8.4284,5.1988,7.0321,0.1953,0.4722
14,2011,2014,1,0,0,East,Small,2.4357,0.9666,3.0385,8.4801,5.1702,7.0403,0.1703,0.4953
14,2012,2014,1,0,0,East,Small,2.4344,1.1179,2.9617,8.495,5.1787,6.9222,0.1858,0.4817
14,2013,2014,1,0,0,East,Small,2.4585,1.199,2.97,8.565,5.1644,7.0641,0.1952,0.4737
14,2014,2014,1,1,1,East,Small,2.5275,1.2743,3.0937,8.6497,5.1663,7.0608,0.216,0.4906
14,2015,2014,1,1,1,East,Small,2.6394,1.4638,3.2692,8.6377,5.1455,7.1572,0.2041,0.4906
14,2016,2014,1,1,1,East,Small,2.5954,1.4683,3.1971,8.7788,5.1905,7.1579,0.1511,0.5032
14,2017,2014,1,1,1,East,Small,2.6767,1.3288,3.1454,8.7901,5.2018,7.1314,0.1854,0.5017
14,2018,2014,1,1,1,East,Small,2.7319,1.3346,3.1615,8.8482,5.1833,7.2718,0.1904,0.5299
15,2010,2014,1,0,0,Central,Small,2.7563,1.214,2.9296,8.8488,5.307,7.1413,0.1529,0.4898
15,2011,2014,1,0,0,Central,Small,2.7456,1.283,3.1169,8.7456,5.3038,7.248,0.1769,0.453
15,2012,2014,1,0,0,Central,Small,2.9253,1.4319,3.1949,8.8306,5.3271,7.2212,0.213,0.4695
15,2013,2014,1,0,0,Central,Small,2.8495,1.3649,3.0966,8.9433,5.3229,7.4558,0.131,0.5091
15,2014,2014,1,1,1,Central,Small,2.9729,1.5483,3.3405,8.9091,5.3062,7.4051,0.2059,0.5226
15,2015,2014,1,1,1,Central,Small,3.049,1.8151,3.256,9.0556,5.2999,7.5376,0.2,0.4779
15,2016,2014,1,1,1,Central,Small,3.0506,1.8245,3.4253,9.0957,5.3031,7.379,0.1623,0.5048
15,2017,2014,1,1,1,Central,Small,3.083,1.6934,3.4913,9.0565,5.2918,7.568,0.1682,0.5542
15,2018,2014,1,1,1,Central,Small,3.1177,1.8068,3.3024,9.1973,5.3079,7.5315,0.1987,0.5659
16,2010,2014,1,0,0,West,Large,2.5785,1.2694,3.1754,8.6561,5.2935,7.0857,0.1653,0.4863
16,2011,2014,1,0,0,West,Large,2.6762,1.3292,3.0246,8.8084,5.2521,7.1869,0.1283,0.4862
16,2012,2014,1,0,0,West,Large,2.7787,1.2811,3.1937,8.7904,5.3024,7.3269,0.1745,0.479
16,2013,2014,1,0,0,West,Large,2.8503,1.3956,2.9904,8.8368,5.3015,7.3269,0.1726,0.4697
16,2014,2014,1,1,1,West,Large,2.9016,1.5748,3.1383,8.8539,5.2741,7.4075,0.1719,0.4922
16,2015,2014,1,1,1,West,Large,2.9326,1.552,3.1855,9.071,5.2822,7.3485,0.1383,0.5313
16,2016,2014,1,1,1,West,Large,3.0179,1.4812,3.4074,8.9818,5.2591,7.3603,0.2167,0.5112
16,2017,2014,1,1,1,West,Large,3.0107,1.5833,3.215,9.0455,5.3022,7.422,0.1928,0.5337
16,2018,2014,1,1,1,West,Large,3.0045,1.7985,3.4882,9.0915,5.2443,7.5593,0.1556,0.5352
17,2010,2014,1,0,0,Central,Small,2.2871,1.1035,2.9373,8.3474,5.1619,6.9891,0.1997,0.4515
17,2011,2014,1,0,0,Central,Small,2.3017,1.1569,2.8835,8.4031,5.1895,6.9774,0.1745,0.4434
17,2012,2014,1,0,0,Central,Small,2.2677,1.0582,2.9888,8.5412,5.1929,6.939,0.1958,0.4338
17,2013,2014,1,0,0,Central,Small,2.3468,1.1225,3.0946,8.6166,5.1553,7.0288,0.2183,0.4616
17,2014,2014,1,1,1,Central,Small,2.5171,1.2838,2.9536,8.5477,5.166,7.0786,0.1656,0.4915
17,2015,2014,1,1,1,Central,Small,2.6259,1.3605,3.0647,8.6351,5.205,7.1549,0.1368,0.4728
17,2016,2014,1,1,1,Central,Small,2.6136,1.3777,3.2241,8.7099,5.1625,7.1332,0.1867,0.4996
17,2017,2014,1,1,1,Central,Small,2.6148,1.4264,3.0669,8.7308,5.1451,7.2501,0.1598,0.4884
17,2018,2014,1,1,1,Central,Small,2.6231,1.2399,3.2305,8.8593,5.1732,7.2717,0.2025,0.5234
18,2010,2014,1,0,0,Central,Small,2.373,1.1528,2.712,8.3754,5.1504,6.9586,0.2175,0.428
18,2011,2014,1,0,0,Central,Small,2.3309,1.0148,2.9093,8.5064,5.1983,7.0517,0.1499,0.4586
18,2012,2014,1,0,0,Central,Small,2.2635,1.2247,2.9612,8.4961,5.1953,7.0123,0.1762,0.4493
18,2013,2014,1,0,0,Central,Small,2.4708,1.1727,3.0404,8.518,5.2372,7.0262,0.1534,0.4628
18,2014,2014,1,1,1,Central,Small,2.5703,1.3468,3.1297,8.6237,5.1411,7.0546,0.1795,0.4787
18,2015,2014,1,1,1,Central,Small,2.6557,1.4012,3.0697,8.6599,5.1717,7.1706,0.2015,0.4963
18,2016,2014,1,1,1,Central,Small,2.6824,1.3146,3.1068,8.7547,5.1702,7.2162,0.1633,0.497
18,2017,2014,1,1,1,Central,Small,2.6783,1.4196,3.2249,8.8096,5.1765,7.319,0.157,0.5295
18,2018,2014,1,1,1,Central,Small,2.7327,1.4697,3.1986,8.8975,5.1487,7.312,0.2096,0.5189
19,2010,2014,1,0,0,West,Large,2.7698,1.3698,2.8911,8.713,5.3328,7.133,0.1916,0.451
19,2011,2014,1,0,0,West,Large,2.6951,1.3973,3.1611,8.7877,5.2461,7.2288,0.1755,0.4436
19,2012,2014,1,0,0,West,Large,2.7323,1.3777,3.3924,8.779,5.2808,7.2861,0.1977,0.4817
19,2013,2014,1,0,0,West,Large,2.8319,1.5144,3.3362,8.8527,5.2907,7.2556,0.1395,0.5019
19,2014,2014,1,1,1,West,Large,2.9466,1.5081,3.285,8.8973,5.273,7.2136,0.2063,0.4847
19,2015,2014,1,1,1,West,Large,3.0225,1.6043,3.4849,8.9234,5.2774,7.3334,0.1521,0.5252
19,2016,2014,1,1,1,West,Large,2.9925,1.5709,3.3604,9.0764,5.2711,7.4037,0.1488,0.5161
19,2017,2014,1,1,1,West,Large,3.084,1.7424,3.314,9.09,5.2921,7.4843,0.1815,0.5114
19,2018,2014,1,1,1,West,Large,3.0736,1.7769,3.3839,9.0917,5.3113,7.4968,0.1597,0.5347
20,2010,2014,1,0,0,West,Small,2.1862,0.9598,2.9182,8.3295,5.1454,6.7778,0.1705,0.4834
20,2011,2014,1,0,0,West,Small,2.2108,1.0615,2.764,8.3489,5.1328,6.9121,0.1816,0.4766
20,2012,2014,1,0,0,West,Small,2.1704,1.1176,2.8172,8.4642,5.1217,6.8595,0.1947,0.4149
20,2013,2014,1,0,0,West,Small,2.3305,0.9956,2.947,8.4918,5.128,7.0164,0.1487,0.4661
20,2014,2014,1,1,1,West,Small,2.4325,1.209,3.1046,8.498,5.1388,7.0884,0.1445,0.492
20,2015,2014,1,1,1,West,Small,2.3987,1.3018,2.9141,8.5132,5.1434,7.0252,0.218,0.4801
20,2016,2014,1,1,1,West,Small,2.4628,1.4089,2.9826,8.6211,5.133,7.0916,0.1949,0.4832
20,2017,2014,1,1,1,West,Small,2.4254,1.2285,3.0885,8.6728,5.1525,7.1849,0.2306,0.5025
20,2018,2014,1,1,1,West,Small,2.5941,1.1817,3.0856,8.7402,5.1443,7.2429,0.2024,0.5294
21,2010,2014,1,0,0,West,Small,2.4096,0.9836,2.8192,8.4935,5.1873,7.0338,0.1855,0.4755
21,2011,2014,1,0,0,West,Small,2.4616,1.3307,2.8157,8.5647,5.2332,7.108,0.1632,0.4718
21,2012,2014,1,0,0,West,Small,2.4911,1.285,2.907,8.663,5.207,7.1598,0.2048,0.4829
21,2013,2014,1,0,0,West,Small,2.5523,1.3002,2.8059,8.7072,5.1918,7.0312,0.1737,0.4649
21,2014,2014,1,1,1,West,Small,2.7103,1.4373,3.2033,8.6932,5.1975,7.279,0.1936,0.529
21,2015,2014,1,1,1,West,Small,2.7076,1.5329,3.2152,8.7802,5.2193,7.2659,0.2013,0.5038
21,2016,2014,1,1,1,West,Small,2.8492,1.5339,3.0626,8.917,5.2136,7.2435,0.1684,0.5173
21,2017,2014,1,1,1,West,Small,2.7683,1.4122,3.1342,8.8928,5.2041,7.2349,0.155,0.4915
21,2018,2014,1,1,1,West,Small,2.801,1.6993,3.2663,8.9227,5.2351,7.3905,0.1436,0.5512
22,2010,2014,1,0,0,East,Small,2.7815,1.4647,3.024,8.8232,5.3233,7.3267,0.1517,0.4509
22,2011,2014,1,0,0,East,Small,2.8671,1.3691,3.1157,8.9554,5.3579,7.2448,0.1704,0.4852
22,2012,2014,1,0,0,East,Small,2.8162,1.5232,3.3441,8.9522,5.3644,7.408,0.1861,0.5068
22,2013,2014,1,0,0,East,Small,2.9568,1.5192,3.0596,8.9895,5.323,7.4215,0.1439,0.4873
22,2014,2014,1,1,1,East,Small,3.0289,1.7259,3.3957,9.0215,5.3171,7.4222,0.1706,0.4965
22,2015,2014,1,1,1,East,Small,3.1199,1.8739,3.5115,9.1883,5.327,7.4504,0.1707,0.4903
22,2016,2014,1,1,1,East,Small,3.127,1.6243,3.4063,9.1344,5.3035,7.5057,0.1782,0.5262
22,2017,2014,1,1,1,East,Small,3.3575,1.8559,3.4162,9.1782,5.3312,7.6235,0.1835,0.5336
22,2018,2014,1,1,1,East,Small,3.1914,1.7412,3.4537,9.2671,5.3164,7.6809,0.1524,0.5822
23,2010,2014,1,0,0,East,Large,2.1024,0.9917,2.599,8.1463,5.0793,6.7548,0.1748,0.4273
23,2011,2014,1,0,0,East,Large,1.9788,0.6875,2.7541,8.1472,5.051,6.8093,0.1723,0.4566
23,2012,2014,1,0,0,East,Large,2.0562,0.7343,2.7948,8.2294,5.0561,6.8982,0.1789,0.4173
23,2013,2014,1,0,0,East,Large,2.0483,0.6539,2.7627,8.2496,5.0507,6.8347,0.196,0.46
23,2014,2014,1,1,1,East,Large,2.3173,1.1342,3.0825,8.3554,5.0818,6.8654,0.1358,0.4604
23,2015,2014,1,1,1,East,Large,2.2815,1.2465,3.0199,8.3645,5.0916,6.8873,0.172,0.4644
23,2016,2014,1,1,1,East,Large,2.2876,1.1426,2.9964,8.4208,5.055,6.9687,0.2012,0.5083
23,2017,2014,1,1,1,East,Large,2.3767,1.3758,3.0582,8.4726,5.0823,7.0167,0.1639,0.526
23,2018,2014,1,1,1,East,Large,2.4134,1.3323,3.1856,8.5328,5.0765,7.0115,0.1825,0.4833
24,2010,2014,1,0,0,Central,Small,1.9839,0.9015,2.5815,8.1104,5.047,6.7459,0.1539,0.481
24,2011,2014,1,0,0,Central,Small,2.0919,0.9299,2.7088,8.206,5.0355,6.7839,0.1834,0.4355
24,2012,2014,1,0,0,Central,Small,2.0611,0.9164,2.6249,8.2768,5.0317,6.8155,0.1521,0.442
24,2013,2014,1,0,0,Central,Small,2.0628,0.9092,2.904,8.2833,5.0626,6.9006,0.161,0.4642
24,2014,2014,1,1,1,Central,Small,2.1445,1.1347,2.9802,8.3773,5.0663,6.8565,0.1875,0.4695
24,2015,2014,1,1,1,Central,Small,2.2784,1.1432,2.6886,8.3739,5.0805,6.9064,0.1788,0.4939
24,2016,2014,1,1,1,Central,Small,2.3609,1.0752,2.8432,8.4307,5.0427,6.9952,0.171,0.4792
24,2017,2014,1,1,1,Central,Small,2.3181,1.359,2.9687,8.5039,5.0561,6.9205,0.1631,0.5108
24,2018,2014,1,1,1,Central,Small,2.3809,1.1577,3.1874,8.5564,5.0582,7.0338,0.1396,0.4776
25,2010,2014,1,0,0,East,Small,2.7436,1.3096,3.0539,8.7603,5.2737,7.2574,0.1602,0.4575
25,2011,2014,1,0,0,East,Small,2.7398,1.469,3.2088,8.7177,5.2514,7.162,0.1718,0.4581
25,2012,2014,1,0,0,East,Small,2.8573,1.4749,3.2449,8.9498,5.3149,7.3303,0.173,0.4567
25,2013,2014,1,0,0,East,Small,2.7981,1.2619,3.1276,8.8923,5.2862,7.2522,0.1719,0.4855
25,2014,2014,1,1,1,East,Small,2.9508,1.5973,3.2149,8.9408,5.2542,7.2696,0.1809,0.4903
25,2015,2014,1,1,1,East,Small,2.9553,1.5538,3.3628,9.0273,5.2727,7.3759,0.1861,0.5333
